,,task,split,source,samples,input_features,mean_device_invoke_ms,mean_serial_round_trip_ms,p95_serial_round_trip_ms,tflite_model_bytes,tensor_arena_bytes,uf2_firmware_bytes,mean_positioning_error_cm,median_positioning_error_cm,p95_positioning_error_cm,aging_episodes,aging_min_episode_hours,aging_max_episode_hours,aging_mean_episode_mean_positioning_error_cm,aging_worst_episode_mean_positioning_error_cm,aging_episode_metrics,id,timestamp
,,1,validation,clean,4685,9,2.0617662753468515,3.1135981895410882,3.6869356,8708,81920,211968,5.859455108642578,4.707988262176514,15.699814796447754,,,,,,,default_model,2026-07-08T13:46:00+00:00
,,1,validation,clean,4685,9,11.589236712913555,12.999129763287085,13.4785632,31432,81920,257536,2.8142406940460205,2.2709734439849854,7.205660820007324,,,,,,,medium_model,2026-07-08T14:17:14+00:00
,,1,validation,clean,4685,9,44.334158377801494,45.83076972465315,46.3547188,108360,81920,411136,2.103879928588867,1.6097607612609863,5.5218939781188965,,,,,,,big_model,2026-07-08T14:26:33+00:00
,,1,validation,clean,4685,9,4.796174813233725,6.26126404375667,6.8066226,31008,81920,256512,2.613574743270874,2.2046897411346436,6.0040130615234375,,,,,,,big_model_quant8,2026-07-08T14:30:38+00:00
,,1,validation,clean,4685,9,17.842818143009605,19.38127462561366,19.92172,107296,81920,409088,2.483665943145752,2.1293649673461914,5.586050987243652,,,,,,,xl_model_quant8,2026-07-08T14:39:55+00:00
,,1,validation,clean,4685,9,4.796476840981857,6.260747600640342,6.792389200000001,31008,81920,256512,2.4862220287323,2.2092251777648926,5.420060634613037,,,,,,,big_model_quant8_ep50,2026-07-08T14:46:07+00:00
,,1,validation,clean,4685,9,4.795630736392742,6.263128958164354,6.7944776000000005,31008,81920,256512,2.6957530975341797,2.4404685497283936,5.479279041290283,,,,,,,big_model_quant8_ep200,2026-07-08T14:56:55+00:00
,,1,validation,clean,4685,9,4.801549199573106,6.272177162433297,6.7951392,38656,81920,271872,2.4378163814544678,2.01438307762146,5.886012554168701,,,,,,,big_model_quant8perchannel,2026-07-08T15:04:34+00:00
,,1,validation,clean,4685,9,17.865939807897547,19.41989785165422,19.9541078,122624,81920,439808,2.2751150131225586,1.9221290349960327,5.414267539978027,,,,,,,xl_model_quant8perchannel,2026-07-08T15:13:17+00:00
,,1,validation,clean,4685,9,17.866690715048026,19.419964431163287,19.9511194,122624,81920,439808,2.2751150131225586,1.9221290349960327,5.414267539978027,,,,,,,xl_model_quant8perchannel-prepquant,2026-07-08T15:19:56+00:00
,,1,validation,clean,4685,9,17.86726318036286,19.407624505229457,19.937186,122624,81920,439808,1.8398168087005615,1.602381706237793,4.068981170654297,,,,,,,xl_model_quant8perchannel_ep50,2026-07-08T15:24:41+00:00
,,1,validation,clean,4685,9,17.86679295624333,19.419685681963717,19.9476094,122624,81920,439808,1.7387865781784058,1.6204912662506104,3.362544059753418,,,,,,,xl_model_quant8perchannel_ep200,2026-07-08T15:28:21+00:00
,,1,validation,clean,4685,9,66.857965208111,68.41629810160084,68.94301,438016,81920,1070592,1.6142091751098633,1.5209765434265137,3.0739521980285645,,,,,,,2xl_model_quant8perchannel_ep200,2026-07-09T09:17:01+00:00
,,2,validation,raw,5000,9,66.857541,68.4154162108,68.93697235,438016,81920,1070592,19.10301399230957,5.65941047668457,84.01769256591797,,,,,,,2xl_model_quant8perchannel_ep200,2026-07-09T09:30:02+00:00
,,2,validation,raw,5000,9,17.868221,19.409161845200003,19.95809705,122624,81920,439808,21.853443145751953,12.131112098693848,78.71723937988281,,,,,,,xl_model_quant8perchannel_ep50_noise,2026-07-09T10:08:53+00:00
,,2,validation,raw,5000,9,17.868803000000003,19.3962210468,19.93512265,122624,81920,439808,17.115737915039062,5.749449253082275,70.43103790283203,,,,,,,xl_model_quant8perchannel_ep50,2026-07-09T10:14:17+00:00
,,1,validation,clean,4685,9,17.86890629669157,19.41327910266809,19.9578186,122624,81920,439808,1.8398168087005615,1.602381706237793,4.068981170654297,,,,,,,xl_model_quant8perchannel_ep50,2026-07-09T11:18:56+00:00
,,1,validation,clean,4685,9,17.868399359658486,19.398920151547493,19.928890600000003,122624,81920,439808,1.8398168087005615,1.602381706237793,4.068981170654297,,,,,,,task1,2026-07-09T12:10:51+00:00
,,4,validation,clean,4685,9,17.868346211312698,19.40756749882604,19.9475196,122624,81920,439808,9.21762752532959,7.0351691246032715,23.20845603942871,10,10688.1484375,46370.36328125,9.218500137329102,14.248970985412598,"[{""episode"": 0, ""samples"": 469, ""aging_hours"": 10688.1484375, ""mean_positioning_error_cm"": 3.4019343852996826, ""median_positioning_error_cm"": 3.173753023147583, ""p95_positioning_error_cm"": 6.3928303718566895}, {""episode"": 1, ""samples"": 468, ""aging_hours"": 11595.4091796875, ""mean_positioning_error_cm"": 3.798795223236084, ""median_positioning_error_cm"": 3.62569522857666, ""p95_positioning_error_cm"": 6.8597612380981445}, {""episode"": 2, ""samples"": 469, ""aging_hours"": 12248.23046875, ""mean_positioning_error_cm"": 3.7571754455566406, ""median_positioning_error_cm"": 3.425950527191162, ""p95_positioning_error_cm"": 6.9955878257751465}, {""episode"": 3, ""samples"": 468, ""aging_hours"": 25648.5234375, ""mean_positioning_error_cm"": 7.595396518707275, ""median_positioning_error_cm"": 7.126542091369629, ""p95_positioning_error_cm"": 14.428728103637695}, {""episode"": 4, ""samples"": 469, ""aging_hours"": 31497.009765625, ""mean_positioning_error_cm"": 9.263406753540039, ""median_positioning_error_cm"": 8.520140647888184, ""p95_positioning_error_cm"": 17.52045249938965}, {""episode"": 5, ""samples"": 468, ""aging_hours"": 37073.3515625, ""mean_positioning_error_cm"": 11.692806243896484, ""median_positioning_error_cm"": 10.051748275756836, ""p95_positioning_error_cm"": 23.458194732666016}, {""episode"": 6, ""samples"": 469, ""aging_hours"": 39956.2578125, ""mean_positioning_error_cm"": 11.512412071228027, ""median_positioning_error_cm"": 10.474817276000977, ""p95_positioning_error_cm"": 23.840120315551758}, {""episode"": 7, ""samples"": 468, ""aging_hours"": 41212.078125, ""mean_positioning_error_cm"": 12.843626976013184, ""median_positioning_error_cm"": 11.191560745239258, ""p95_positioning_error_cm"": 26.290874481201172}, {""episode"": 8, ""samples"": 469, ""aging_hours"": 44494.6328125, ""mean_positioning_error_cm"": 14.070476531982422, ""median_positioning_error_cm"": 12.481804847717285, ""p95_positioning_error_cm"": 28.900907516479492}, {""episode"": 9, ""samples"": 468, ""aging_hours"": 46370.36328125, ""mean_positioning_error_cm"": 14.248970985412598, ""median_positioning_error_cm"": 12.781323432922363, ""p95_positioning_error_cm"": 31.05419158935547}]",task4,2026-07-09T12:19:49+00:00
